Replicate Name,File Name,Sample Type,Isotope Label Type,Fragment Ion Type,Transition Note,Analyte Concentration,Molecule List Name,Molecule Name,Precursor Mz,Product Mz,Points Across Peak,Background,Area,Fwhm
1_std0,mtab_Zoop2_BC_lumos_071423_009.raw,Standard,light,precursor,,0,molecules,2′deoxyguanosine,370.1157,370.1157,25,0,0,0.14
2_std0,mtab_Zoop2_BC_lumos_071423_010.raw,Standard,light,precursor,,0,molecules,2′deoxyguanosine,370.1157,370.1157,24,0,493,0.01
3_std0,mtab_Zoop2_BC_lumos_071423_011.raw,Standard,light,precursor,,0,molecules,2′deoxyguanosine,370.1157,370.1157,24,0,0,0.14
4_std5,mtab_Zoop2_BC_lumos_071423_012.raw,Standard,light,precursor,,5,molecules,2′deoxyguanosine,370.1157,370.1157,23,0,41544,0.03
5_std10,mtab_Zoop2_BC_lumos_071423_013.raw,Standard,light,precursor,,10,molecules,2′deoxyguanosine,370.1157,370.1157,24,0,99132,0.03
6_std20,mtab_Zoop2_BC_lumos_071423_014.raw,Standard,light,precursor,,20,molecules,2′deoxyguanosine,370.1157,370.1157,23,0,175075,0.04
7_std30,mtab_Zoop2_BC_lumos_071423_015.raw,Standard,light,precursor,,30,molecules,2′deoxyguanosine,370.1157,370.1157,23,0,302382,0.03
8_std50,mtab_Zoop2_BC_lumos_071423_016.raw,Standard,light,precursor,,50,molecules,2′deoxyguanosine,370.1157,370.1157,23,0,463167,0.04
9_std70,mtab_Zoop2_BC_lumos_071423_017.raw,Standard,light,precursor,,70,molecules,2′deoxyguanosine,370.1157,370.1157,23,0,717292,0.03
10_std85,mtab_Zoop2_BC_lumos_071423_018.raw,Standard,light,precursor,,85,molecules,2′deoxyguanosine,370.1157,370.1157,23,5804,892735,0.04
11_std100,mtab_Zoop2_BC_lumos_071423_019.raw,Standard,light,precursor,,100,molecules,2′deoxyguanosine,370.1157,370.1157,23,0,911716,0.04
12_std300,mtab_Zoop2_BC_lumos_071423_020.raw,Standard,light,precursor,,300,molecules,2′deoxyguanosine,370.1157,370.1157,23,0,3173812,0.04
13_std500,mtab_Zoop2_BC_lumos_071423_021.raw,Standard,light,precursor,,500,molecules,2′deoxyguanosine,370.1157,370.1157,22,0,6717334,0.04
14_std700,mtab_Zoop2_BC_lumos_071423_022.raw,Standard,light,precursor,,700,molecules,2′deoxyguanosine,370.1157,370.1157,22,0,8611066,0.04
